Navn_x,Breddegrad_x,Lengdegrad_x,Organisasjonsnummer,Navn_y,Breddegrad_y,Lengdegrad_y,Aktornavn,StatusDescription,GodkjentEtterLov,_merge
,,,993965820,,,,Escuela Noruega De Rojales Fundacio De La Comunitat Valenciana,I drift,privatskoleloven,right_only
,,,917402280,,,,Fagerenget Montessoriskole SA,I drift,privatskoleloven,right_only
,,,997260864,,,,Fagerhaug International School AS,I drift,privatskoleloven,right_only
,,,989432699,,,,Fagerhaug Kristne Skole SA,I drift,privatskoleloven,right_only
,,,917790337,,,,Feiring videregående Skole AS,I drift,privatskoleloven,right_only
,,,922148430,,,,Fiksdal Friskule SA,I drift,privatskoleloven,right_only
,,,991514724,,,,Finnskogen Montessoriskole SA,I drift,privatskoleloven,right_only
,,,989075926,,,,Foreninga Norheimsund friskule,I drift,privatskoleloven,right_only
,,,989077627,,,,Foreningen Danielsen Intensivgymnas,I drift,privatskoleloven,right_only
,,,989077554,,,,Foreningen Danielsen Ungdomsskole Bergen,I drift,privatskoleloven,right_only
,,,989077457,,,,Foreningen Danielsen videregående skole,I drift,privatskoleloven,right_only
,,,993272590,,,,Forus Friskole AS,I drift,privatskoleloven,right_only
,,,976793773,,,,Framnes Kristne vidaregåande skule,I drift,privatskoleloven,right_only
,,,922085846,,,,Fresvik Enspire Skule AS,I drift,privatskoleloven,right_only
,,,920291783,,,,Frikult Grunnskole AS,I drift,privatskoleloven,right_only
,,,996455262,,,,Fundacion De La Escuela Noruega De Gran Canaria,I drift,privatskoleloven,right_only
,,,986848231,,,,Gamleveien skole,I drift,privatskoleloven,right_only
,,,990695628,,,,Gjennestad videregående skole,I drift,privatskoleloven,right_only
,,,913437497,,,,Gjøvikregionen International School Sti,I drift,privatskoleloven,right_only
,,,989695983,,,,Granly skole,I drift,privatskoleloven,right_only
,,,932873427,,,,Grimstad International School AS,I drift,privatskoleloven,right_only
,,,993892696,,,,Grytastranda Montessoriskule SA,I drift,privatskoleloven,right_only
,,,896633562,,,,Grønfjelldal Montessoriskole SA,I drift,privatskoleloven,right_only
,,,915202926,,,,Haldde Montessoriskole SA,I drift,privatskoleloven,right_only
,,,998164346,,,,Halden Montessoriskole AS,I drift,privatskoleloven,right_only
,,,983424961,,,,Hamar Montessori Skole Sti,I drift,privatskoleloven,right_only
,,,998186382,,,,Hamarøy montessoriskole,I drift,privatskoleloven,right_only
,,,985905061,,,,Hans Nielsen Hauge videregående Skole AS,I drift,privatskoleloven,right_only
,,,922167753,,,,Hans Nielsen Hauges Grunnskole AS,I drift,privatskoleloven,right_only
,,,922167680,,,,Hans Nielsen Hauges Grunnskole Follo AS,I drift,privatskoleloven,right_only
,,,811748382,,,,Harstad Montessoriskole SA,I drift,privatskoleloven,right_only
,,,916513194,,,,Hauge videregående Skole AS,I drift,privatskoleloven,right_only
,,,915188389,,,,Haugesund International School Sti,I drift,privatskoleloven,right_only
,,,952217593,,,,Haugesund Toppidrettsgymnas AS,I drift,privatskoleloven,right_only
,,,924452625,,,,Havbruksakademiet Nord AS,I drift,privatskoleloven,right_only
