Navn,Breddegrad,Lengdegrad,Organisasjonsnummer
St. Paul gymnas,60.38285,5.33371,916794304
Steinerskolen i Bærum videregående Opplæring,59.93,10.60565,975015785
Steinerskolen i Moss videregående skole,59.46358,10.69718,973075381
Steinerskolen i Stavanger videregående skole,58.93885,5.73421,975037436
Steinerskolen i Trondheim videregående skole,0.0,0.0,975014894
Steinerskolen på Hedemarken avd videregående skole,0.0,0.0,978664067
Steinerskolen på Skjold Helseped Avdeling,60.31017,5.32901,973465112
Stiftelsen Den Tysk-Norske skolen i Oslo avd grunnskole og videregående,59.93637,10.75914,930591548
Stiftelsen Maritim videregående skole Sørlandet,58.14923,8.03194,974117371
Stiftelsen Spin Off Forstudium,0.0,0.0,984777604
Stiftelsen Telemark Toppidrett gymnas,59.21206,9.59073,888361332
Stiftelsen steinerskolen Rotvoll,63.43889,10.48563,982196574
Stiftelsen Østerbo videregående skole,59.23161,11.47543,974826704
Strykejernet kunstskole AS,59.92035,10.75279,973449990
Sygna Vgs,61.20767,6.52918,974151537
Tomb videregående skole,59.32111,10.81228,974117290
Troens Bevis Bibel og Misjons Institutt,59.92385,10.73946,971833793
Trondheim Toppidrettsgymnas Sti,63.44256,10.45906,931570994
Tryggheim vidaregåande skule,58.67356,5.63596,973157221
Tveit vidaregåande skule Sti,59.34455,5.79518,974313804
Tyrifjord videregående skole,60.07095,10.16954,973255754
Tønsberg bibelskole AS,59.27896,10.39904,921320205
Urtehagen videregående privatskole Sti,59.9134,10.76078,873489502
Val Skoler AS avd Vgs,64.78575,11.42312,974139790
Vestborg Vgs,62.30856,6.91996,974117711
Vinterlandbruksskulen i Ryfylke Sti,59.60665,5.81312,997940431
Vinterlandbruksskulen på Jæren Sti,58.76159,5.64889,973255509
Wang Fredrikstad AS,59.21256,10.92896,986779795
Wang Hamar AS,60.80167,11.03811,913391470
Wang Romerike AS,59.94674,10.95199,825308512
Wang Toppidrett Stavanger AS,58.9546,5.70006,988586102
Wang Tønsberg AS,59.29502,10.41573,995354071
Wang videregående Skole/ Wang Toppidrett,59.91474,10.72427,971816317
Øya videregående skole,63.23681,10.27536,974149966
