Navn_x,Breddegrad_x,Lengdegrad_x,Organisasjonsnummer,Navn_y,Breddegrad_y,Lengdegrad_y,Aktornavn,StatusDescription,GodkjentEtterLov,_merge
,,,915114091,Romerike International School Sti,60.12708,11.33918,,,,left_only
,,,915121624,Sandnes International School AS,58.88292,5.74173,,,,left_only
,,,915225284,Norges Toppidrettsgymnas ungdomsskole Lillehammer AS,61.125,10.47277,,,,left_only
,,,915225713,Kongshaugen Kristne grunnskole,59.10352,10.11309,,,,left_only
,,,915239013,Norges Toppidrettsgymnas ungdomsskole Tromsø AS,69.67397,18.95455,,,,left_only
,,,915254845,Norges Toppidrettsgymnas ungdomsskole Kongsvinger AS,60.19129,12.00542,,,,left_only
,,,915258360,Haldde montessoriskole SA,69.93139,23.01776,,,,left_only
,,,915261108,Haugesund International School Sti,59.39037,5.24482,,,,left_only
,,,915372473,Neverdal Enspire skole AS,66.83442,13.77594,,,,left_only
Norlights International School Oslo AS,59.96258,10.69287,915601618,Norlights International School Oslo AS,59.96258,10.69287,,,,left_only
,,,915684920,Senja montessoriskole,69.5048,17.62833,,,,left_only
,,,915686893,Skodvin montessoriskule,60.69473,5.2295,,,,left_only
,,,915779328,Telemark Toppidrett ungdomsskole Skien AS,59.21222,9.5906,,,,left_only
,,,915828701,Oasen skole Strømme AS grunnskole,58.15521,8.07752,,,,left_only
,,,916295650,Ringerike Montessori AS,60.13551,10.16669,,,,left_only
,,,916579632,Wang Ung Stavanger AS,58.9546,5.70006,,,,left_only
Hauge videregående skole,59.37473,5.26223,916612095,,,,,,,left_only
,,,916677375,Trondheim Montessori,63.43896,10.48351,,,,left_only
,,,916688296,Norges Toppidrettsgymnas ungdomsskole Bodø AS,67.27618,14.38304,,,,left_only
Norges Toppidrettsgymnas Bodø AS,67.27618,14.38304,916694490,,,,,,,left_only
St. Paul gymnas,60.38285,5.33371,916794304,,,,,,,left_only
,,,917370133,Stette friskule SA,62.52422,6.60443,,,,left_only
,,,917425817,Steinsfjorden montessoriskole SA,60.12857,10.3514,,,,left_only
,,,917450064,Strandvik Vekst AS,60.15934,5.66499,,,,left_only
,,,917485976,Dalsgrenda montessoriskole SA,66.24875,13.99432,,,,left_only
,,,917635501,Hjellvik montessoriskule,60.55116,5.40816,,,,left_only
,,,917635595,Akademiet realfagsskole Drammen AS,59.7486,10.17168,,,,left_only
,,,917672938,Fagerenget montessoriskole SA,63.8737,9.88536,,,,left_only
,,,918374221,Wang Ung Sandefjord AS,59.1486,10.1848,,,,left_only
,,,918511377,Voll skole AS,62.87648,9.83776,,,,left_only
,,,918522859,Kongsvinger montessoriskole SA,60.174,12.01812,,,,left_only
,,,918526560,Helgådal Montessori SA,63.82074,11.90368,,,,left_only
,,,918530428,Wang Ung Follo AS,0.0,0.0,,,,left_only
,,,918532226,Elsfjord montessoriskole SA,66.10355,13.54507,,,,left_only
,,,918535705,Biss Sentrum AS,58.97514,5.71299,,,,left_only
,,,919233532,Akademiet realfagsskole Oslo AS,59.93356,10.7725,,,,left_only
,,,920292348,Stiftinga Tuddal montessoriskule,59.75579,8.78749,,,,left_only
,,,920312063,Hurdal steinerskole,60.40863,11.05092,,,,left_only
,,,920330576,Hjartdal montessoriskule Sti,59.60681,8.70046,,,,left_only
Create - Lillehammer Kreative videregående skole AS,61.11788,10.46692,920330754,,,,,,,left_only
,,,920334806,Childrens International School Sarpsborg AS,59.2921,11.09572,,,,left_only
,,,920335195,Bryggja skule AS,61.94246,5.45155,,,,left_only
,,,920382878,Akademiet ungdomsskole Lier AS,59.76917,10.25233,,,,left_only
Norges Realfagsgymnas Sandvika AS,59.89269,10.52632,921204353,,,,,,,left_only
Tønsberg bibelskole AS,59.27896,10.39904,921320205,,,,,,,left_only
,,,922093474,Telemark Toppidrett ungdomsskole Porsgrunn AS,59.13965,9.67016,,,,left_only
Blå Kors videregående skole Grimstad AS,58.33753,8.58078,922100101,,,,,,,left_only
Norges Toppidrettsgymnas Bergen AS,60.36712,5.35898,922148805,,,,,,,left_only
,,,922148872,Norges Toppidrettsgymnas ungdomsskole Bergen AS,60.36712,5.35898,,,,left_only
,,,922174636,Fresvik Enspire skule AS,61.06621,6.93118,,,,left_only
,,,922220026,Tresfjord Enspire skule,62.51939,7.12746,,,,left_only
,,,922273510,Fiksdal friskule SA,62.61732,6.85761,,,,left_only
,,,923189963,Trondheim idrettsungdomsskole AS,63.44256,10.45906,,,,left_only
,,,923927085,Stord Kristne skule AS,59.77872,5.485,,,,left_only
Seiersborg videregående skole Follo AS,59.66176,10.79354,924422459,,,,,,,left_only
Akademiet Vgs Kongsberg AS,59.67378,9.64225,924441747,,,,,,,left_only
,,,924466332,Skarnsundet montessoriskole SA,63.81896,11.00676,,,,left_only
Havbruksakademiet Nord AS,68.1299,13.58109,924480831,,,,,,,left_only
,,,925103446,Oasen skole Vennesla AS,58.27774,7.97015,,,,left_only
,,,926159534,"Heimdal Friskole, Kristen grunnskole Heimdal",63.36135,10.35149,,,,left_only
Forus friskole - Vgs,58.88395,5.73894,927794187,,,,,,,left_only
,,,928563278,Norges Toppidrettsgymnas ungdomsskole Asker AS,59.82552,10.45233,,,,left_only
Oasen skole Strømme AS videregående skole,58.15521,8.07752,930029017,,,,,,,left_only
