Navn,Lengdegrad,Breddegrad
Neverdal Enspire skole AS,13.77594,66.83442
Nidaros idrettsungdomsskole Sti,10.38058,63.36776
Nord-Dønna montessoriskole,12.54427,66.17542
Nordborg ungdomsskole,17.99604,69.23026
Nordhordland Kristne grunnskole,5.2435,60.5645
Norges Realfagsungdomsskole Sandvika AS,10.52295,59.89667
Norges Toppidrettsgymnas ungdomsskole Asker AS,10.45233,59.82552
Norges Toppidrettsgymnas ungdomsskole Bergen AS,5.35898,60.36712
Norges Toppidrettsgymnas ungdomsskole Bodø AS,14.38304,67.27618
Norges Toppidrettsgymnas ungdomsskole Bærum AS,10.59114,59.92561
Norges Toppidrettsgymnas ungdomsskole Kongsvinger AS,12.00542,60.19129
Norges Toppidrettsgymnas ungdomsskole Lillehammer AS,10.47277,61.125
Norges Toppidrettsgymnas ungdomsskole Tromsø AS,18.95455,69.67397
Norlights International School Oslo AS,10.69287,59.96258
Norlights montessoriskole Drammen AS,10.18181,59.7402
Norlights montessoriskole Stavanger AS,5.72333,58.89334
Norwegian Community School,36.72250340000005,-1.3365109
Nyskolen i Oslo grunnskole,10.83882,59.86345
Oasen skole Birkelid AS,7.84612,58.12668
Oasen skole Grenland AS,9.56798,59.20725
Oasen skole Mandal AS,7.4549,58.0336
Oasen skole Strømme AS grunnskole,8.07752,58.15521
Oasen skole Vennesla AS,7.97015,58.27774
Oasen skole Vågsbygd AS,7.94784,58.1197
Oks friskole Sti,11.01479,59.9815
Olavsborg Kristne skole,11.09572,59.2921
Opdøl montessoriskole Barne og ungdomsskole,13.65269,68.18674
Oslo International School,10.58345,59.91956
Oslo montessoriskole,10.69312,59.96375
Overhalla montessoriskole SA,12.05537,64.46429
Reisa montessoriskole,21.11146,69.74545
Ringerike Montessori AS,10.16669,60.13551
Ringerike steinerskole Sti,10.37506,60.20934
Romerike International School Sti,11.33918,60.12708
Rosendal skole,10.02568,59.74988
Rudolf steinerskolen Lørenskog Sti,10.93832,59.91315
Rudolf steinerskolen i Bergen skolen,5.34308,60.34368
Rudolf steinerskolen i Oslo Sti,10.65886,59.94917
Rudolf steinerskolen stiftelsen avd Undervisning,10.67416,59.84457
Ryenberget skole,10.80234,59.89883
SHAPE International School,3.978684899999962,50.5034862
Samfundets skole Dvergsnes,8.07568,58.13895
Samfundets skole Egersund,6.00466,58.44527
Samfundets skole Oftenes,7.75758,58.07471
Samfundets skole Sentrum,7.99474,58.1499
Sandnes International School AS,5.74173,58.88292
Sandnes friskole AS,5.71712,58.82388
Sandstrand Montessoriforening,16.80358,68.6816
Sandøya montessoriskole,9.72984,59.05037
Sauar friskole,9.28063,59.41963
Senja montessoriskole,17.62833,69.5048
Signo Grunn- og videregående skole AS,10.15271,59.31808
Skagerak International School Sti,10.23137,59.12004
"Skagerak International School, Tønsberg AS",10.40571,59.27051
Skarnsundet montessoriskole SA,11.00676,63.81896
Skauen Kristelige skole,9.63099,59.19426
Skaugdalen montessoriskole SA,10.14745,63.65203
Skien steinerskole AS,9.59315,59.23088
Skodvin montessoriskule,5.2295,60.69473
Snåsa montessoriskole SA,12.52723,64.2787
Solør montessoriskole,12.07131,60.57507
St Eysteins skole,14.36665,67.27572
St Paul skole,5.32358,60.38879
St Sunniva skole avd Undervisning,10.74521,59.91878
St. Franciskus skole,8.76531,58.45792
Stavanger Kristne grunnskole,5.69091,58.96039
Steinerskolen Gjøvik-Toten,10.69987,60.78819
Steinerskolen Stavanger grunnskole,5.73421,58.93885
Steinerskolen i Asker skole,10.49502,59.86135
Steinerskolen i Bærum Grunnskoleundervisning,10.60565,59.93
Steinerskolen i Fredrikstad,10.9979,59.26662
Steinerskolen i Haugesund,5.29963,59.41864
Steinerskolen i Hurum Sti,10.4958,59.63306
Steinerskolen i Moss Grunnskole/Adm,10.69718,59.46358
Steinerskolen i Tromsø Sti,18.93474,69.64095
Steinerskolen i Trondheim grunnskole,10.3729,63.43064                                  # Hentet fra Google Maps    
Steinerskolen i Vestfold,10.39467,59.23991
Steinerskolen i Ås,10.81147,59.68657
Steinerskolen på Eidsvoll,11.24116,60.28651
Steinerskolen på Hedemarken avd grunnskolen Ottestad,11.1034,60.77756
Steinerskolen på Nordstrand,10.79022,59.86193
Steinerskolen Ålesund,6.26629,62.46194
Steinkjer montessoriskole,11.47801,64.01442
Steinsfjorden montessoriskole SA,10.3514,60.12857
Stette friskule SA,6.60443,62.52422
Stiftelsen Asker International School,10.41732,59.82971
Stiftelsen Bodø International School,14.58755,67.29175                                  # Hentet fra Google Maps
Stiftelsen Bærum montessoriskole,10.57955,59.90689
Stiftelsen Davinci montessoriskole,5.34799,60.36518                     # Hentet fra Google Maps
Stiftelsen Den Tysk-Norske skolen i Oslo avd grunnskole og videregående,10.75914,59.93637
Stiftelsen International School Telemark,9.68147,59.10553
Stiftelsen Kongsberg International School,9.64268,59.67608                          # Hentet fra Google Maps
Stiftelsen Lillehammer steinerskole,10.42448,61.09985
Stiftelsen Lyngdal Kristne grunnskole,7.06781,58.12961
"Stiftelsen Møre barne- og Ungdomsskule, Ålesund",6.39917,62.43412
Stiftelsen Tromsø International School,18.96618,69.6814
Stiftelsen Trondheim International School,10.41373,63.42935
"Stiftelsen Trondheim Kristne Grunnskole, tomasskolen",10.41373,63.42935
Stiftelsen Vollen montessoriskole,10.47667,59.80523                     # Hentet fra Google Maps
Stiftelsen montessoriskolen Lyse,10.6429,59.93125
Stiftelsen montessoriskolen i Bergen,5.28364,60.34414
Stiftelsen steinerskolen Rotvoll,10.48563,63.43889
Stiftelsen steinerskolen i Arendal,8.75454,58.47592
