Aktornavn,StatusDescription,Orgnummer,GodkjentEtterLov
Hans Nielsen Hauge videregående Skole AS,I drift,985905061,privatskoleloven
Hans Nielsen Hauges Grunnskole AS,I drift,922167753,privatskoleloven
Hans Nielsen Hauges Grunnskole Follo AS,I drift,922167680,privatskoleloven
Harstad Montessoriskole SA,I drift,811748382,privatskoleloven
Hauge videregående Skole AS,I drift,916513194,privatskoleloven
Haugesund International School Sti,I drift,915188389,privatskoleloven
Haugesund Toppidrettsgymnas AS,I drift,952217593,privatskoleloven
Havbruksakademiet Nord AS,I drift,924452625,privatskoleloven
"Heimdal Friskole, Kristen Grunnskole Heimdal",I drift,926155806,privatskoleloven
Helgen Montessoriskolelag,I drift,994984608,privatskoleloven
Helgådal Montessori SA,I drift,918475990,privatskoleloven
Hesnes Skole Montessoriskolen i Grimstad,I drift,985923051,privatskoleloven
Hildre Montessoriskule SA,I drift,995287811,privatskoleloven
Hjartdal Montessoriskule Sti,I drift,920187765,privatskoleloven
Hjellvik montessoriskule,I drift,995289636,privatskoleloven
Hjerleid Handverksskole AS,I drift,994010980,privatskoleloven
Hjuksebø Montessoriskole SA,I drift,911759500,privatskoleloven
Holmedal montessoriskule,I drift,986236147,privatskoleloven
Holmestrand Internasjonale Montessoriskole Sti,I drift,987098570,privatskoleloven
Hop videregående Skole AS,I drift,992232137,privatskoleloven
Hoppensprett Akademiet AS,I drift,996787389,privatskoleloven
Hoppensprett Akademiet Brårud AS,I drift,912360148,privatskoleloven
Hoppensprett Akademiet Vgs Jessheim AS,I drift,913332482,privatskoleloven
Horten Montessoriskole SA,I drift,987670843,privatskoleloven
Hosanger Montessoriskule Sti,I drift,985864322,privatskoleloven
Humanistskolen AS,I drift,995262487,privatskoleloven
Hundeidvik Privatskule AS,I drift,995312247,privatskoleloven
Hurdal Steinerskole AS,I drift,920251730,privatskoleloven
Indre Kåfjord barne- og ungdomsskole,I drift,913416988,privatskoleloven
Innfjorden Friskole SA,I drift,895262382,privatskoleloven
Jennestad montessoriskole,I drift,996707393,privatskoleloven
Justøy Skole - Montessoriskolen i Lillesand Sti,I drift,881209942,privatskoleloven
Jærtun Lutherske friskule,I drift,987789948,privatskoleloven
Kilebygda Montessoriskole SA,I drift,994833499,privatskoleloven
Kjølsdalen Montessoriskule SA,I drift,998181712,privatskoleloven
Kolbeinsvik montessoriskule,I drift,915024165,privatskoleloven
Kongsberg Steinerskole AS,I drift,920328687,privatskoleloven
Kongshaug Musikkgymnas AS,I drift,988982229,privatskoleloven
Kongshaugen Kristne grunnskole,I drift,915170064,privatskoleloven
Kongstun Kristne friskole,I drift,916575823,privatskoleloven
Kongsvinger Montessoriskole SA,I drift,918465855,privatskoleloven
Kragerøskjærgården montessoriskole,I drift,998169070,privatskoleloven
Kristelig gymnasium AS,I drift,827111392,privatskoleloven
Kristen Friskole AS,I drift,998182670,privatskoleloven
Kristen Friskole Klippen AS,I drift,911730359,privatskoleloven
Kristen videregående Skole Nordland Sti,I drift,971541210,privatskoleloven
Kristen videregående Skole Trøndelag,I drift,971574909,privatskoleloven
Krokeide videregående Skole AS,I drift,980443191,privatskoleloven
Kvalavåg Montessoriskole AS,I drift,996744485,privatskoleloven
Kvitsund gymnas AS,I drift,988982857,privatskoleloven
Kvs-Bygland AS,I drift,989032321,privatskoleloven
Kvs-Lyngdal AS,I drift,989032402,privatskoleloven
Lisleherad Montessoriskole SA,I drift,911674270,privatskoleloven
Ljabruskolen - Steinerskole for Elever Med Spesielle Behov Sti,I drift,877137082,privatskoleloven
Lukas videregående Skole AS,I drift,989213377,privatskoleloven
Lundeneset Vgs AS,I drift,888982302,privatskoleloven
Løkken Verk Montessoriskole SA,I drift,995316242,privatskoleloven
Lørenskog friskole,I drift,884034582,privatskoleloven
Markabygda Montessoriskole SA,I drift,985676593,privatskoleloven
Metis videregående AS,I drift,985024731,privatskoleloven
Moe skole,I drift,989695959,privatskoleloven
Mokollen Skole Adventkirkens Grunnskole i Sandefjord,I drift,976202376,privatskoleloven
Molde friskole,I drift,985160287,privatskoleloven
Momo Waldorfskole AS,I drift,996724255,privatskoleloven
Montessori Horten AS,I drift,932753669,privatskoleloven
Montessoriskolen Morgan AS,I drift,912363821,privatskoleloven
Møbelsnekkerskolen AS,I drift,898571122,privatskoleloven
Møllebakken skole,I drift,976201973,privatskoleloven
Møre barne- og Ungdomsskule Skodje AS,I drift,913220846,privatskoleloven
Narvik montessoriskole,I drift,993916005,privatskoleloven
Natur videregående Skole Sti,I drift,971526025,privatskoleloven
Neverdal Enspire Skole AS,I drift,915188702,privatskoleloven
Nidaros Idrettsungdomsskole Sti,I drift,984396732,privatskoleloven
Nidelven Skole Adventistsamfunnets Grunnskoler,I drift,976202899,privatskoleloven
Nord-Dønna Montessoriforening,I drift,993908355,privatskoleloven
Nordborg Skoler AS,I drift,988978159,privatskoleloven
Nordhordland Kristne grunnskole,I drift,987770333,privatskoleloven
Norges Realfagsgymnas Sandvika AS,I drift,998060257,privatskoleloven
Norges Realfagsungdomsskole Sandvika AS,I drift,816667232,privatskoleloven
Norges Toppidrettsgymnas Bergen AS,I drift,922123462,privatskoleloven
Norges Toppidrettsgymnas Bodø AS,I drift,916658052,privatskoleloven
Norges Toppidrettsgymnas Bærum AS,I drift,990598991,privatskoleloven
Norges Toppidrettsgymnas Geilo AS,I drift,990599084,privatskoleloven
Norges Toppidrettsgymnas Kongsvinger AS,I drift,990599874,privatskoleloven
Norges Toppidrettsgymnas Lillehammer AS,I drift,990599106,privatskoleloven
Norges Toppidrettsgymnas Tromsø AS,I drift,991569081,privatskoleloven
Norges Toppidrettsgymnas Ungdomsskole Asker AS,I drift,916598645,privatskoleloven
