Navn,Lengdegrad,Breddegrad
Stiftelsen Den Tysk-Norske skolen i Oslo avd grunnskole og videregående,10.75914,59.93637
Stiftelsen Maritim videregående skole Sørlandet,8.03194,58.14923
Stiftelsen Spin Off Forstudium,10.76129,59.91960                                # Hentet fra Google Maps
Stiftelsen Telemark Toppidrett gymnas,9.59073,59.21206
Stiftelsen steinerskolen Rotvoll,10.48563,63.43889
Stiftelsen Østerbo videregående skole,11.47543,59.23161
Strykejernet kunstskole AS,10.75279,59.92035
Sygna Vgs,6.52918,61.20767
Tomb videregående skole,10.81228,59.32111
Troens Bevis Bibel og Misjons Institutt,10.73946,59.92385
Trondheim Toppidrettsgymnas Sti,10.45906,63.44256
Tryggheim vidaregåande skule,5.63596,58.67356
Tveit vidaregåande skule Sti,5.79518,59.34455
Tyrifjord videregående skole,10.16954,60.07095
Tønsberg bibelskole AS,10.39904,59.27896
Urtehagen videregående privatskole Sti,10.76078,59.9134
Val Skoler AS avd Vgs,11.42312,64.78575
Vestborg Vgs,6.91996,62.30856
Vinterlandbruksskulen i Ryfylke Sti,5.81312,59.60665
Vinterlandbruksskulen på Jæren Sti,5.64889,58.76159
Wang Fredrikstad AS,10.92896,59.21256
Wang Hamar AS,11.03811,60.80167
Wang Romerike AS,10.95199,59.94674
Wang Toppidrett Stavanger AS,5.70006,58.9546
Wang Tønsberg AS,10.41573,59.29502
Wang videregående Skole/ Wang Toppidrett,10.72427,59.91474
Øya videregående skole,10.27536,63.23681
