Navn,Breddegrad,Lengdegrad,Organisasjonsnummer
Kragerøskjærgården montessoriskole,58.85822,9.47864,998250722
Kristelig gymnasium AS grunnskole,59.924,10.72948,975013286
Kristen friskole AS,58.95177,5.70301,998211794
Kvalavåg montessoriskole AS,59.32518,5.20725,996755592
Lisleherad montessoriskole SA,59.59907,9.27139,911785005
Lycee Francais Rene Cassin Doslo,59.91702,10.71729,976939190
Løkken Verk montessoriskole SA,63.12623,9.70793,995332779
Lørenskog friskole,59.93161,10.92921,981668383                                                 # Hentet fra Google Maps                 
Markabygda montessoriskole SA,63.63749,11.27818,987636750
Moe skole,59.14296,10.19795,973915878
Mokollen skole,59.14516,10.21145,976207173
Molde friskole,62.73742,7.12167,985193495
Momo waldorfskole AS,63.36135,10.35149,913003284
Montessori Horten AS,59.43541,10.42986,932953765
Montessoriskolen Morgan AS,68.74081,17.32728,912399060
Møllebakken skole,60.37813,5.33904,976202422
Møre barne- og ungdomsskule,62.27855,5.80714,987105941
Møre barne- og ungdomsskule Skodje AS,62.48411,6.50676,913261968
Narvik montessoriskole,68.41266,17.43929,912282880
Neverdal Enspire skole AS,66.83442,13.77594,915372473
Nidaros idrettsungdomsskole Sti,63.36776,10.38058,884675812
Nord-Dønna montessoriskole,66.17542,12.54427,995876167
Nordborg ungdomsskole,69.23026,17.99604,912427617
Nordhordland Kristne grunnskole,60.5645,5.2435,981077997
Norges Realfagsungdomsskole Sandvika AS,59.89667,10.52295,816691842
Norges Toppidrettsgymnas ungdomsskole Asker AS,59.82552,10.45233,928563278
Norges Toppidrettsgymnas ungdomsskole Bergen AS,60.36712,5.35898,922148872
Norges Toppidrettsgymnas ungdomsskole Bodø AS,67.27618,14.38304,916688296
Norges Toppidrettsgymnas ungdomsskole Bærum AS,59.92561,10.59114,990672938
Norges Toppidrettsgymnas ungdomsskole Kongsvinger AS,60.19129,12.00542,915254845
Norges Toppidrettsgymnas ungdomsskole Lillehammer AS,61.125,10.47277,915225284
Norges Toppidrettsgymnas ungdomsskole Tromsø AS,69.67397,18.95455,915239013
Norlights International School Oslo AS,59.96258,10.69287,915601618
Norlights montessoriskole Drammen AS,59.7402,10.18181,995355825
Norlights montessoriskole Stavanger AS,58.89334,5.72333,913461746
Norwegian Community School,-1.3365109,36.72250340000005,U90099008
Nyskolen i Oslo grunnskole,59.86345,10.83882,885142362
Oasen skole Birkelid AS,58.12668,7.84612,985315469
Oasen skole Grenland AS,59.20725,9.56798,897457962
Oasen skole Mandal AS,58.0336,7.4549,911777886
Oasen skole Strømme AS grunnskole,58.15521,8.07752,915828701
Oasen skole Vennesla AS,58.27774,7.97015,925103446
Oasen skole Vågsbygd AS,58.1197,7.94784,819260702
Oks friskole Sti,59.9815,11.01479,973556932
Olavsborg Kristne skole,59.2921,11.09572,915094791
Opdøl montessoriskole Barne og ungdomsskole,68.18674,13.65269,911765977
Oslo International School,59.91956,10.58345,971845635
Oslo montessoriskole,59.96375,10.69312,973488910
Overhalla montessoriskole SA,64.46429,12.05537,911772515
Reisa montessoriskole,69.74545,21.11146,988284440
Ringerike Montessori AS,60.13551,10.16669,916295650
Ringerike steinerskole Sti,60.20934,10.37506,973465147
Romerike International School Sti,60.12708,11.33918,915114091
Rosendal skole,59.74988,10.02568,976207076
Rudolf steinerskolen Lørenskog Sti,59.91315,10.93832,873084022
Rudolf steinerskolen i Bergen skolen,60.34368,5.34308,973159232
Rudolf steinerskolen i Oslo Sti,59.94917,10.65886,974117096
Rudolf steinerskolen stiftelsen avd Undervisning,59.84457,10.67416,973076914
Ryenberget skole,59.89883,10.80234,975079465
SHAPE International School,50.5034862,3.978684899999962,U90099004
Samfundets skole Dvergsnes,58.13895,8.07568,981522036
Samfundets skole Egersund,58.44527,6.00466,975079368
Samfundets skole Oftenes,58.07471,7.75758,981522028
Samfundets skole Sentrum,58.1499,7.99474,974117053
Sandnes International School AS,58.88292,5.74173,915121624
Sandnes friskole AS,58.82388,5.71712,986978070
Sandstrand Montessoriforening,68.6816,16.80358,930771899
Sandøya montessoriskole,59.05037,9.72984,995199394
Sauar friskole,59.41963,9.28063,977209234
Senja montessoriskole,69.5048,17.62833,915684920
Signo Grunn- og videregående skole AS,59.31808,10.15271,998666783
Skagerak International School Sti,59.12004,10.23137,973488783
"Skagerak International School, Tønsberg AS",59.27051,10.40571,829325942
Skarnsundet montessoriskole SA,63.81896,11.00676,924466332
Skauen Kristelige skole,59.19426,9.63099,971427418
Skaugdalen montessoriskole SA,63.65203,10.14745,911716291
Skien steinerskole AS,59.23088,9.59315,930733881
Skodvin montessoriskule,60.69473,5.2295,915686893
Snåsa montessoriskole SA,64.2787,12.52723,989337823
Solør montessoriskole,60.57507,12.07131,987919558
St Eysteins skole,67.27572,14.36665,982794374
St Paul skole,60.38879,5.32358,974117045
St Sunniva skole avd Undervisning,59.91878,10.74521,974117088
St. Franciskus skole,58.45792,8.76531,974117061
Stavanger Kristne grunnskole,58.96039,5.69091,982944635
Steinerskolen Gjøvik-Toten,60.78819,10.69987,974180030
Steinerskolen Stavanger grunnskole,58.93885,5.73421,974154307
Steinerskolen i Asker skole,59.86135,10.49502,974180022
Steinerskolen i Bærum Grunnskoleundervisning,59.93,10.60565,974122898
